X,
F1_CHK,35.349597187618194
F1_PWH,89.91640012106325
F1_PBH,109.06138387339318
F1_PDC,80.93116251257875
F1_QGAS,56793.39997706157
B2_CHK,10.252962984825537
B2_PWH,134.14251804471408
B2_PBH,163.96910009351606
B2_PDC,75.44396595415408
B2_QGAS,55566.81950346095
D3_CHK,26.11257220304812
D3_PWH,119.90803076470779
D3_PBH,161.67784136886578
D3_PDC,75.6588428911614
D3_QGAS,51507.08801995682
E1_CHK,44.52671802993335
E1_PWH,103.49107721722733
E1_PBH,153.75922814157266
E1_PDC,80.85140982031972
E1_QGAS,152085.33586307912
time,508.5
F1_CHK_zero,1.0
B2_CHK_zero,1.0
D3_CHK_zero,1.0
E1_CHK_zero,1.0
